Report Number,title,abstract,link,author,outlier
,中文版,"The author analyzes the results of a survey of political risk concerns of outward-investing Brazilian, Russian, Indian, and Chinese (BRIC) firms and compares the results to the concerns of global counterparts. ",/sites/default/files/content/docs/publications/FDI_No22_Chinese.pdf,,
No. 21:,Is a model EU BIT possible—or even desirable?,No. 21:,/sites/default/files/content/docs/publications/FDI_21.pdf,",” by Armand de Mestral C.M..",
,中文版,The author explores whether the EU is in a position to adopt a model BIT articulating a common policy on FDI. ,/sites/default/files/content/docs/publications/FDI_No21_Chinese.pdf,,
No. 20:,It’s time for an EU investment promotion agency,No. 20:,/sites/default/files/content/docs/publications/FDI_20.pdf,",” by José Guimón.",
,中文版,The author proposes an EU IPA that coordinates FDI promotion and support for foreign investors at a regional level. ,/sites/default/files/content/docs/publications/FDI_No20_Chinese.pdf,,
No. 19:,U.S. BITs and financial stability,No. 19:,/sites/default/files/content/docs/publications/FDI_19.pdf,",” by Kevin P. Gallagher.",
,中文版,"The author, a member of the State Department subcommittee tasked with reviewing the U.S. Model bilateral investment treaty, addresses the potential impact of BIT provisions on the ability of governments to prevent and mitigate financial crises and makes specific recommendations for the revised Model BIT. ",/sites/default/files/content/docs/publications/FDI_No19_Chinese.pdf,,
No. 18:,President Obama’s international tax proposals could go further,No. 18:,/sites/default/files/content/docs/publications/FDI_18.pdf,",” by Reuven S. Avi-Yonah.",
,中文版,The author argues that the Obama Administrations 2011 international tax proposals represent a very cautious first step toward making US multinationals pay their fair share of the tax burden and that coordination with our FDI partners would allow the Administration to go even further. ,/sites/default/files/content/docs/publications/FDI_No18_Chinese.pdf,,
No. 17:,International investment law and media disputes: a complement to WTO law,No. 17:,/sites/default/files/content/docs/publications/FDI_17.pdf,",” by Luke Eric Peterson.",
,中文版,"The author suggests that international investment law is a potentially powerful legal tool to protect freedom of expression, at least for foreign-owned media companies. ",/sites/default/files/content/docs/publications/FDI_No17_Chinese.pdf,,
No. 16:,Can the U.S. remain an attractive host for FDI in the auto industry? New labor policy and flexible production,No. 16:,/sites/default/files/content/docs/publications/FDI_16.pdf,",” by Terutomo Ozawa.",
,中文版,"The author argues that the proposed EFCA, if enacted, would decrease the attractiveness of the United States for FDI in the auto industry. ",/sites/default/files/content/docs/publications/FDI_No16_Chinese.pdf, This Perspective was also printed in the ,.
No. 15:,"The global economic crisis and FDI flows to emerging markets: for the first time ever, emerging markets are this year set to attract more than half of global FDI flows",No. 15:,/sites/default/files/content/docs/publications/FDI_15.pdf,",” by Laza Kekic.",
,中文版,"For the first time ever, emerging markets are set to attract more FDI inflows than developed countries in 2009. This Perspective examines this prospect, based on an analysis of the severe downturn of investment flows worldwide this year. ",/sites/default/files/content/docs/publications/FDI_No15_Chinese.pdf, This Perspective was also printed in the ,.
No. 14:,Sovereign wealth funds: much ado about some money,No. 14:,/sites/default/files/content/docs/publications/FDI_14.pdf,",” by Charles Kovacs.",
,中文版,This ,/sites/default/files/content/docs/publications/FDI_No14_Chinese.pdf," makes the point that sovereign wealth funds constitute only one of the pools of anonymous capital, and for that matter, not even one of the most important ones. However, the author recognizes that issues of national security are involved and require attention. ",
No. 13:,The growth of Brazil’s direct investment abroad and the challenges it faces,No. 13:,/sites/default/files/content/FDI_13.pdf,",” by Luis Afonso Lima and Octavio de Barros.",
,中文版,"Brazil’s FDI outflows reached $21 billion in 2008; in the first five months of 2009, however, Brazil’s OFDI declined by 87% due to the global economic crisis. The authors note that while Brazilian companies, like companies elsewhere, have sought markets and natural resources abroad, they have also in part been pushed to escape the investment climate at home. The authors end by suggesting some rethinking of key government policies. ",/sites/default/files/content/FDI_No13_Chinese.pdf,,
No. 12:,Outward investment by Trans-Latin enterprises: reasons for optimism,No. 12:,/sites/default/files/content/FDI_12.pdf,",” by Michael Mortimore and Carlos Razo.",
,中文版,"Despite the global crisis, outward FDI by Latin American firms grew by more than 40% in 2008. The picture for 2009 is less clear, due to the expected regional GDP contraction, falling commodity prices, and tightening credit markets. Nonetheless, the authors argue that many countervailing factors make Latin American investment more resilient in the crisis than other regions may be. ",/sites/default/files/content/FDI_No12_Chinese.pdf,,
No. 11:,Indian FDI falls in global economic crisis: Indian multinationals tread cautiously,No. 11:,/sites/default/files/content/FDI_11.pdf,",” by Jaya Prakash.",
,中文版,"After growing faster than other emerging markets for some time, Indian investment abroad declined in 2008 and will decline further in 2009. The global slowdown has made a difference, as have the credit crunch and a depreciating Indian currency. The stronger than expected domestic GDP growth in the first quarter of 2009 is a positive sign in this context, as is the fact that not every Indian firm with foreign interests is cash-poor. ",/sites/default/files/content/FDI_No11_Chinese.pdf,,
No. 10:,National security with a Canadian twist: the Investment Canada Act and the new national security review test,No. 10:,/sites/default/files/content/docs/publications/FDI_10.pdf,",” by Subrata Bhattacharjee.",
